Ano,Mês,Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Total mensal
2017,9,34052,3146,65019,3800,15,4763,110795
2017,10,9589,12303,37656,2424,12,1036,63020
2017,11,12832,6556,2437,96,12,187,22120
2017,12,8914,4384,1310,84,19,7,14718
Total anual,,91215,29698,158348,16190,1602,9829,306882
2018,1,2132,637,192,25,17,22,3025
2018,2,1260,14,34,49,21,0,1378
2018,3,1387,52,633,332,32,7,2443
2018,4,617,28,603,289,76,11,1624
2018,5,895,149,3354,1338,130,53,5919
2018,6,1605,613,7087,1932,93,86,11416
2018,7,3606,1309,10910,4111,85,318,20339
2018,8,6045,2700,19082,1674,125,669,30295
2018,9,12849,7616,33255,2146,4,1583,57453
2018,10,6533,5046,8632,1106,19,113,21449
2018,11,4889,5922,1155,83,5,3,12057
2018,12,1342,1342,437,132,8,229,3490
Total anual,,43160,25428,85374,13217,615,3094,170888
2019,1,2983,118,506,264,4,531,4406
2019,2,1598,23,316,288,15,538,2778
2019,3,5277,37,395,337,32,103,6181
2019,4,1911,16,815,130,55,126,3053
2019,5,809,250,3757,180,25,73,5094
2019,6,1763,357,8455,1579,184,342,12680
2019,7,4280,1516,12897,3315,712,846,23566
2019,8,24688,3736,35379,4270,262,3907,72242
2019,9,16320,6724,59594,4451,59,6483,93631
2019,10,5364,18494,18548,2517,21,5188,50132
2019,11,5454,15858,5087,1401,13,2317,30130
2019,12,1803,8389,1902,459,16,380,12949
Total anual,,72250,55518,147651,19191,1398,20834,316842
2020,1,1578,434,214,478,19,436,3159
2020,2,2787,45,247,160,26,156,3421
2020,3,1658,8,697,237,200,1036,3836
2020,4,483,13,1182,557,1379,1174,4788
2020,5,731,16,2600,873,720,384,5324
2020,6,1983,79,7552,1895,344,1076,12929
2020,7,3515,525,11324,1683,151,3367,20565
2020,8,20664,1789,22729,3337,200,10179,58898
2020,9,27937,4816,54741,3393,11,14264,105162
2020,10,12028,13118,34188,2357,27,5707,67425
2020,11,2335,5350,2122,384,18,1554,11763
2020,12,722,4208,944,129,24,435,6462
Total anual,,76421,30401,138540,15483,3119,39768,303732
2021,1,253,976,302,59,21,59,1670
2021,2,443,270,270,187,15,23,1208
2021,3,339,165,721,404,28,50,1707
2021,4,338,146,1096,422,137,111,2250
2021,5,1022,366,5968,1500,431,323,9610
2021,6,2583,1466,10068,1100,37,434,15688
2021,7,3349,1984,16047,4017,349,1095,26841
2021,8,21476,4534,38848,5469,142,3565,74034
2021,9,9607,13384,56410,6719,9,8208,94337
2021,10,5835,12722,12799,1272,15,4931,37574
2021,11,2158,12150,440,278,30,318,15374
2021,12,659,2714,373,129,33,325,4233
Total anual,,48062,50877,143342,21556,1247,19442,284526
2022,1,2272,47,277,450,453,81,3580
2022,2,504,67,494,178,219,37,1499
2022,3,63,28,508,154,36,56,845
2022,4,407,67,1583,109,44,32,2242
2022,5,1695,322,6783,367,85,408,9660
2022,6,2677,799,11701,944,30,272,16423
2022,7,4091,1164,16452,2642,45,490,24884
2022,8,24083,2619,28398,2534,25,307,57966
2022,9,28458,7589,32473,1179,9,625,70333
2022,10,7610,17463,24218,733,9,52,50085
2022,11,4132,2928,1348,131,20,233,8792
2022,12,826,2368,620,35,114,435,4398
Total anual,,76818,35461,124855,9456,1089,3028,250707
2023,1,906,335,185,44,72,15,1557
2023,2,1102,81,311,43,136,0,1673
2023,3,1666,54,631,281,108,22,2762
2023,4,1169,397,1761,175,189,19,3710
2023,5,1655,441,5568,826,385,64,8939
2023,6,3374,805,14078,1321,80,80,19738
2023,7,3456,2293,20242,3989,103,498,30581
2023,8,12690,5920,23400,2756,85,360,45211
2023,9,20618,18319,45422,2595,6,1059,88019
2023,10,21486,35323,25999,1551,10,2742,87111
2023,11,17493,24849,8164,1459,0,7322,59287
2023,12,6245,11494,4103,1095,6,815,23758
Total anual,,91860,100311,149864,16135,1180,12996,372346
2024,1,3766,916,957,324,0,481,6444
2024,2,5085,193,857,296,8,136,6575
2024,3,2031,9,246,39,0,169,2494
2024,4,1286,263,2109,385,31,100,4174
2024,5,2014,430,11482,2210,12,390,16538
2024,6,3400,1114,23250,6755,0,4704,39223
2024,7,8664,1754,18706,7257,28,1820,38229
2024,8,36022,4870,49070,11945,157,8640,110704
2024,9,43811,12573,84377,11029,26,5124,156940
2024,10,22033,42935,37420,4875,9,5291,112563
2024,11,25165,32445,10794,1583,18,264,70269
2024,12,10068,13572,2785,1988,6,44,28463
Total anual,,163345,111074,242053,48686,295,27163,592616
2025,1,3131,1887,459,664,59,104,6304
2025,2,496,157,840,479,109,16,2097
Total anual,,3627,2044,1299,1143,168,120,8401
